ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDO2PuntQ,2017-01-18 19:08:35,6310005.0,99217,41706,4000296,c,,,1
IDdXlTWoL,2017-01-14 15:40:46,,287164,89522,76532649,b,Edge,Tablet,0
ID8ulr3Qi,2017-01-13 10:39:05,2463708.0,948989,12052,31388981,c,InternetExplorer,,1
IDoW4BTlc,2017-01-15 18:00:20,,938403,36768,555603,a,Mozilla,Desktop,0
IDo4V6TXY,2017-01-14 11:54:12,,229153,40339,49384126,f,Edge,Tablet,0
IDJGNUzIa,2017-01-14 09:17:55,,306160,26162,15961717,f,InternetExplorer,Desktop,0
ID1tZkcbQ,2017-01-16 17:40:18,8726149.0,494309,97863,3156697,f,IE,Mobile,0
ID7kaej2z,2017-01-14 14:56:51,2457384.0,685515,25516,43770446,f,Mozilla Firefox,Desktop,0
IDwYUAp5l,2017-01-13 20:57:19,5034323.0,866225,36768,78406516,d,InternetExplorer,Desktop,1
IDmfIKBG4,2017-01-15 11:12:09,2736207.0,315486,40339,37135965,f,Edge,Tablet,0
IDigCR9zP,2017-01-14 09:52:51,1317027.0,695235,42227,49384126,b,Mozilla,Desktop,0
IDdFPn9on,2017-01-20 21:57:09,7003925.0,250520,71642,26391770,d,Edge,Tablet,1
IDASWSJdI,2017-01-17 14:20:11,6810669.0,328790,92704,93157824,a,Firefox,Mobile,0
IDVG0pzuR,2017-01-12 13:35:41,6230882.0,980581,74802,21117437,a,Edge,Tablet,0
IDBIBqTcX,2017-01-19 09:48:07,9891507.0,394765,20665,26391770,d,Google Chrome,Mobile,1
IDyhqNSUd,2017-01-14 11:08:49,9805617.0,605820,96184,94931731,b,IE,Mobile,1
IDTRINiKR,2017-01-20 06:14:25,9056218.0,771266,26962,77896159,b,Firefox,Mobile,0
IDR4kwe7g,2017-01-11 09:07:34,1240326.0,294281,23283,26391770,a,Firefox,Mobile,0
IDPmElYcV,2017-01-16 19:02:46,1289987.0,147304,92902,555603,d,Google Chrome,Mobile,1
IDGDkhmBO,2017-01-13 10:10:24,8760305.0,108791,97852,1064733,d,InternetExplorer,,1
IDmx621RO,2017-01-20 10:43:36,7955456.0,475137,46955,58604466,d,,Mobile,0
IDdhmn90H,2017-01-18 11:56:31,7397521.0,249073,21407,91808273,b,Edge,Tablet,0
IDCuBdDGF,2017-01-18 14:53:36,7700519.0,837217,25491,49384126,b,Firefox,Mobile,0
ID1gp5ojR,2017-01-11 07:03:52,654173.0,231022,48498,55358028,d,Google Chrome,Mobile,0
IDWyrK4QA,2017-01-17 12:24:26,6974280.0,744557,13412,77318092,b,Edge,Tablet,0
IDHNY9gz2,2017-01-11 07:31:54,98480.0,625514,46510,20301556,e,Mozilla,Desktop,0
IDafj71Wc,2017-01-17 20:13:35,3117962.0,401007,9764,76532649,c,InternetExplorer,Desktop,1
IDqsiASa9,2017-01-20 14:48:12,5889929.0,767822,82877,38492160,c,Google Chrome,Mobile,1
IDwQRXCeJ,2017-01-13 13:04:37,8963767.0,404975,5602,60774669,b,Firefox,Mobile,0
IDwfOkZ1f,2017-01-12 21:38:58,3657981.0,10278,87732,18481500,c,InternetExplorer,Desktop,1
IDsj8QIFE,2017-01-16 11:21:17,3831579.0,355795,82877,38492160,d,InternetExplorer,Desktop,1
IDFoQULZs,2017-01-12 13:04:54,3791686.0,893112,904,20301556,a,Google Chrome,Mobile,1
ID5PkupkN,2017-01-12 13:06:38,8896401.0,927753,33638,26391770,a,Google Chrome,Mobile,0
IDjEDAvKx,2017-01-20 16:35:18,5297441.0,695720,97103,79906734,a,Mozilla,,1
IDgaGm5ZQ,2017-01-20 14:25:29,7781867.0,533005,40339,50706198,b,InternetExplorer,Desktop,0
IDDk7XWUH,2017-01-18 03:43:20,,619631,48498,55358028,b,InternetExplorer,Desktop,0
IDEvLJBil,2017-01-16 16:49:27,1686411.0,313483,5602,48425572,b,Firefox,Mobile,0
IDpa9gszC,2017-01-18 13:05:08,6431698.0,527326,84987,74868704,c,InternetExplorer,Desktop,1
IDoY59rdZ,2017-01-16 13:12:33,5176875.0,789825,54916,54526992,c,Firefox,Mobile,1
IDN7IQBOI,2017-01-10 12:44:07,725563.0,403621,20665,74363610,f,Firefox,Mobile,0
IDCCxiCzu,2017-01-10 08:16:46,2371432.0,286922,70424,26391770,e,IE,Mobile,0
IDlh5LoKQ,2017-01-12 08:24:53,9232568.0,22136,68575,7122654,c,InternetExplorer,Desktop,1
ID4dYwsN1,2017-01-17 08:34:46,,582581,82877,38492160,b,Google Chrome,Mobile,0
ID3AjIjpc,2017-01-11 19:38:35,4882623.0,368723,42227,1189152,b,Edge,Tablet,0
IDPGmsABB,2017-01-10 18:32:14,,429974,5602,80653536,b,Mozilla Firefox,Desktop,0
IDcvkE5yf,2017-01-19 16:39:25,9032582.0,795764,84974,78683718,f,Mozilla Firefox,Desktop,0
IDqyMkIKW,2017-01-19 03:08:29,8436374.0,413688,48498,7864011,f,,Tablet,0
IDxWIzP6H,2017-01-20 02:05:53,7860250.0,855916,42227,49384126,b,Mozilla Firefox,Desktop,0
IDRR9dTUf,2017-01-20 09:37:42,2341018.0,446628,40339,37135965,b,,Tablet,0
ID1AQqX0s,2017-01-15 17:24:00,4570121.0,631376,1678,76522512,c,InternetExplorer,Desktop,1
ID7ImRYG9,2017-01-13 15:28:06,1861739.0,631376,1678,76522512,b,Edge,Tablet,0
IDPX8Hv0X,2017-01-20 00:12:37,7627743.0,333962,48430,55420443,d,Google Chrome,Mobile,1
IDoUQVWfy,2017-01-11 18:05:17,7606749.0,563289,25491,79474990,b,Mozilla,Desktop,0
IDZmCMHsb,2017-01-17 19:56:08,2260481.0,748501,33638,4000296,c,,,1
ID1OiVJvc,2017-01-18 10:54:26,5546922.0,953647,74263,2050923,c,IE,Mobile,0
IDX48Ks4W,2017-01-11 13:30:05,2817379.0,9915,40339,68646414,b,Firefox,Mobile,0
IDbwT9jcW,2017-01-16 20:18:52,7142669.0,843625,1678,87903766,c,Chrome,Desktop,1
ID5SIjm6o,2017-01-10 04:09:13,6838703.0,449295,11987,16340250,d,Google Chrome,Mobile,0
IDY8LSXiu,2017-01-16 15:56:00,,886505,62949,30860214,c,Firefox,Mobile,0
IDy4BRimm,2017-01-18 12:16:29,6096230.0,438035,54343,3638268,c,InternetExplorer,Desktop,1
IDoUkjiMo,2017-01-20 15:04:24,,391089,10345,64511164,c,Google Chrome,Mobile,1
ID9rTzJUS,2017-01-11 16:25:38,9483474.0,864235,56811,67147700,e,Google Chrome,Mobile,1
IDIB62zQv,2017-01-16 11:21:17,9929987.0,989891,35046,31388981,a,Edge,Tablet,0
IDjVoplAK,2017-01-20 07:02:17,3789575.0,49335,76239,17990842,c,InternetExplorer,Desktop,1
IDq739SrZ,2017-01-20 08:29:07,1256861.0,498306,82877,2835657,c,Mozilla Firefox,,1
IDkjjIyiV,2017-01-13 14:23:24,,652768,97863,87807327,e,Firefox,Mobile,0
IDaOpRC16,2017-01-18 15:40:05,9433255.0,602893,904,72297026,b,Internet Explorer,Tablet,0
IDmLNQF7Q,2017-01-16 16:17:52,1742678.0,955989,87895,57977218,b,Edge,,0
IDgkM3TeZ,2017-01-20 15:44:47,,132802,17714,61682792,b,Edge,Tablet,0
ID4IjVdDc,2017-01-18 08:09:27,2008425.0,665544,14345,555603,b,Edge,Tablet,0
IDkdXSDaa,2017-01-20 07:38:59,555542.0,183264,17714,26391770,e,Firefox,Mobile,0
IDM2ST4tP,2017-01-14 18:04:54,6632216.0,878011,5602,48425572,d,Mozilla Firefox,Desktop,1
IDh8Ni535,2017-01-19 13:02:33,,726166,40339,43452411,b,Edge,Tablet,0
IDJ03qk9y,2017-01-19 22:49:56,,506224,21407,17488931,d,InternetExplorer,Desktop,1
ID6nC0quj,2017-01-20 19:52:35,4438566.0,906273,71642,29352781,c,InternetExplorer,Desktop,1
ID5Il4GZG,2017-01-16 14:15:36,683561.0,670034,45620,31388981,c,IE,Mobile,1
IDDetHUl0,2017-01-18 09:52:18,6037954.0,703768,45287,73166045,d,Google Chrome,Mobile,1
IDoEqiSiS,2017-01-17 11:16:25,9688010.0,356893,24888,81758577,c,Mozilla,Desktop,0
IDTH7jKRP,2017-01-10 19:26:53,9222327.0,957486,43897,7122654,c,Google Chrome,Mobile,1
IDGMbEmya,2017-01-16 08:19:53,2437231.0,509974,11837,49384126,d,Edge,Tablet,0
IDwL71Yyo,2017-01-16 14:59:23,2840429.0,811806,33287,96598003,f,Firefox,,1
ID5sevNpm,2017-01-16 10:41:38,2430907.0,108913,35368,74868704,a,IE,Mobile,1
IDPkoZRXk,2017-01-14 10:25:01,9223070.0,562436,6906,99510044,b,Mozilla Firefox,Desktop,0
ID27al4lZ,2017-01-20 07:52:28,8107829.0,867574,14345,555603,d,Google Chrome,Mobile,1
ID0h2SLYF,2017-01-11 18:26:15,6313991.0,709754,17714,74363610,d,InternetExplorer,Desktop,1
IDWCxYEvu,2017-01-13 17:19:37,4322158.0,283022,48498,77046603,c,InternetExplorer,,0
IDquP96eq,2017-01-10 19:46:44,3162202.0,537680,95113,65017662,c,InternetExplorer,Desktop,1
IDlT2B7AL,2017-01-19 22:28:56,6232348.0,915572,36768,27723861,c,Google Chrome,Mobile,1
ID2X7Ntny,2017-01-20 16:01:23,,12742,97863,56008048,b,Firefox,Mobile,0
ID5oVUIfP,2017-01-20 12:14:13,4873550.0,678789,12052,17581428,c,Edge,Tablet,0
IDRxAF8zN,2017-01-17 08:41:59,3836520.0,223576,96313,31261303,c,InternetExplorer,,1
IDju4Seyh,2017-01-18 10:35:40,,34843,26849,49384126,c,Google Chrome,Mobile,1
IDwOfFP3b,2017-01-16 13:36:33,9742729.0,973956,71441,57977218,d,InternetExplorer,Desktop,1
IDMz7eCtR,2017-01-20 07:52:35,1494028.0,643072,26162,54692138,b,Edge,Tablet,0
IDZzdSI9S,2017-01-13 17:27:25,2906818.0,99025,21380,80720921,c,,Tablet,0
IDSLyWJNh,2017-01-16 13:36:13,6076393.0,631030,83091,74868704,e,InternetExplorer,Desktop,1
IDWemGPiQ,2017-01-14 14:10:44,1034475.0,979747,74802,94555413,d,Edge,Tablet,0
IDVHY6Os5,2017-01-17 21:58:59,3844348.0,191871,82396,64615852,d,InternetExplorer,Desktop,1
IDFS1jIJq,2017-01-13 09:06:30,1904088.0,706390,17714,74363610,c,Firefox,,0
ID6LoRV5o,2017-01-10 14:28:26,4467421.0,93265,62809,36416461,a,InternetExplorer,Desktop,1
ID3X98hk7,2017-01-16 09:53:34,5963414.0,71205,34670,87807327,b,Firefox,Mobile,0
IDw7rCY91,2017-01-20 15:35:35,6775860.0,470527,12052,31388981,d,Google Chrome,Mobile,1
IDuMILW7n,2017-01-17 17:19:17,,755096,6906,99510044,c,InternetExplorer,Desktop,1
ID6QkTDpx,2017-01-15 21:01:40,3289865.0,768364,45620,90174279,d,,Tablet,1
IDqYZbGgK,2017-01-15 13:23:11,1316688.0,829933,1678,76464134,a,IE,Mobile,0
ID7KlQTcB,2017-01-12 12:23:16,8345002.0,332223,3037,55358028,c,InternetExplorer,,1
IDHAGKvis,2017-01-19 00:53:18,5038656.0,817684,47156,555603,c,Google Chrome,Mobile,1
IDb3M5hz3,2017-01-11 23:53:56,,707035,41706,4000296,c,Internet Explorer,Tablet,1
IDxPIy9u4,2017-01-16 17:53:52,6813038.0,5234,84987,74868704,a,Firefox,Mobile,0
IDJgShAGy,2017-01-12 10:30:14,1833286.0,218797,17714,74363610,b,Firefox,Mobile,0
IDonScxRC,2017-01-12 06:44:59,6198746.0,7029,62809,29916445,e,Firefox,,0
IDB0ZU0Q6,2017-01-12 15:04:46,3838000.0,79524,42227,30860214,a,Mozilla,Desktop,0
IDM3rk5dO,2017-01-15 02:55:36,4366566.0,654424,48430,55420443,e,InternetExplorer,Desktop,1
